id,Sitenumber,Type ,organismQuantity,organismQuantityType,eventDate,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,footprintWKT,scientificNameID,scientificName
WA_seagrass_Leschenault_2009_sites.59-halophila,sites.59,halophila,30,percent coverage,,0,0,-33.23168403,115.70874,POINT (115.70874 -33.23168403134651),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.60-ruppia,sites.60,ruppia,5,percent coverage,5/04/2009,1,1,-33.23353603,115.705536,POINT (115.705536 -33.233536031349196),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.60-halophila,sites.60,halophila,25,percent coverage,5/04/2009,1,1,-33.23353603,115.705536,POINT (115.705536 -33.233536031349196),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.61-ruppia,sites.61,ruppia,5,percent coverage,,0,0,-33.23362003,115.704987,POINT (115.70498700000003 -33.23362003134935),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.61-halophila,sites.61,halophila,25,percent coverage,,0,0,-33.23362003,115.704987,POINT (115.70498700000003 -33.23362003134935),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.62-ruppia,sites.62,ruppia,5,percent coverage,5/04/2009,1,1,-33.22981003,115.703713,POINT (115.70371300000004 -33.2298100313438),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.62-halophila,sites.62,halophila,25,percent coverage,5/04/2009,1,1,-33.22981003,115.703713,POINT (115.70371300000004 -33.2298100313438),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.63-ruppia,sites.63,ruppia,5,percent coverage,,0,0,-33.22975203,115.70337,POINT (115.70336999999999 -33.22975203134368),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.63-halophila,sites.63,halophila,25,percent coverage,,0,0,-33.22975203,115.70337,POINT (115.70336999999999 -33.22975203134368),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.64-ruppia,sites.64,ruppia,75,percent coverage,3/04/2009,0,0,-33.22075403,115.707087,POINT (115.70708700000003 -33.22075403133054),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.65-ruppia,sites.65,ruppia,50,percent coverage,3/04/2009,0,0,-33.21153203,115.70409,POINT (115.70409000000001 -33.21153203131706),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.67-ruppia,sites.67,ruppia,75,percent coverage,3/04/2009,0,0,-33.20643803,115.703424,POINT (115.70342399999998 -33.206438031309595),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.68-ruppia,sites.68,ruppia,50,percent coverage,3/04/2009,0,0,-33.20806203,115.704302,POINT (115.704302 -33.208062031311954),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.69-ruppia,sites.69,ruppia,50,percent coverage,,0,0,-33.20875603,115.70427,POINT (115.70427 -33.20875603131298),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.70-ruppia,sites.70,ruppia,70,percent coverage,3/04/2009,0,0,-33.21590603,115.698832,POINT (115.69883199999998 -33.21590603132343),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.71-ruppia,sites.71,ruppia,50,percent coverage,3/04/2009,0,0,-33.21577703,115.701227,POINT (115.70122700000002 -33.21577703132322),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.73-ruppia,sites.73,ruppia,20,percent coverage,3/04/2009,0,0,-33.22040203,115.696726,POINT (115.69672600000001 -33.22040203133002),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.76-halophila,sites.76,halophila,10,percent coverage,2/04/2009,1,1,-33.24109403,115.701217,POINT (115.70121700000004 -33.24109403136022),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.77-halophila,sites.77,halophila,20,percent coverage,2/04/2009,1,1,-33.23787603,115.701383,POINT (115.701383 -33.23787603135555),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.78-halophila,sites.78,halophila,20,percent coverage,2/04/2009,0,0,-33.23803703,115.702099,POINT (115.702099 -33.23803703135576),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.79-halophila,sites.79,halophila,50,percent coverage,2/04/2009,1,1,-33.24030003,115.702935,POINT (115.702935 -33.24030003135909),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.80-halophila,sites.80,halophila,50,percent coverage,2/04/2009,0,0,-33.24064803,115.702522,POINT (115.70252200000003 -33.24064803135957),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.81-ruppia,sites.81,ruppia,5,percent coverage,2/04/2009,1,1,-33.24338303,115.701001,POINT (115.70100100000005 -33.24338303136361),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.81-halophila,sites.81,halophila,20,percent coverage,2/04/2009,1,1,-33.24338303,115.701001,POINT (115.70100100000005 -33.24338303136361),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.82-ruppia,sites.82,ruppia,5,percent coverage,2/04/2009,0,0,-33.24361303,115.70059,POINT (115.70059000000003 -33.24361303136394),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.82-halophila,sites.82,halophila,20,percent coverage,2/04/2009,0,0,-33.24361303,115.70059,POINT (115.70059000000003 -33.24361303136394),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.83-ruppia,sites.83,ruppia,5,percent coverage,2/04/2009,1,1,-33.24061503,115.698498,POINT (115.69849799999999 -33.240615031359575),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.83-halophila,sites.83,halophila,10,percent coverage,2/04/2009,1,1,-33.24061503,115.698498,POINT (115.69849799999999 -33.240615031359575),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.84-ruppia,sites.84,ruppia,5,percent coverage,2/04/2009,0,0,-33.24065503,115.698938,POINT (115.698938 -33.2406550313596),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.84-halophila,sites.84,halophila,10,percent coverage,2/04/2009,0,0,-33.24065503,115.698938,POINT (115.698938 -33.2406550313596),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.85-halophila,sites.85,halophila,10,percent coverage,2/04/2009,1,1,-33.25016703,115.701233,POINT (115.70123299999997 -33.25016703137351),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.86-halophila,sites.86,halophila,5,percent coverage,2/04/2009,1,1,-33.24710403,115.700634,POINT (115.700634 -33.24710403136904),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.87-halophila,sites.87,halophila,5,percent coverage,2/04/2009,0,0,-33.24684103,115.700574,POINT (115.70057400000002 -33.246841031368646),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.88-halophila,sites.88,halophila,5,percent coverage,2/04/2009,1,1,-33.25016603,115.704539,POINT (115.70453899999998 -33.25016603137352),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.89-halophila,sites.89,halophila,5,percent coverage,2/04/2009,0,0,-33.25006403,115.704337,POINT (115.70433700000001 -33.250064031373356),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.90-halophila,sites.90,halophila,110,percent coverage,2/04/2009,1,1,-33.25277303,115.70112,POINT (115.70112000000003 -33.25277303137731),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.91-halophila,sites.91,halophila,110,percent coverage,2/04/2009,0,0,-33.25268103,115.70096,POINT (115.70096000000001 -33.25268103137719),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.92-halophila,sites.92,halophila,10,percent coverage,2/04/2009,1,1,-33.24970703,115.698632,POINT (115.69863200000002 -33.24970703137284),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.92-heterozost,sites.92,heterozost,10,percent coverage,2/04/2009,1,1,-33.24970703,115.698632,POINT (115.69863200000002 -33.24970703137284),urn:lsid:marinespecies.org:taxname:374710,Heterozostera sp.
WA_seagrass_Leschenault_2009_sites.93-halophila,sites.93,halophila,10,percent coverage,2/04/2009,0,0,-33.24922703,115.698446,POINT (115.69844600000002 -33.2492270313721),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.93-heterozost,sites.93,heterozost,10,percent coverage,2/04/2009,0,0,-33.24922703,115.698446,POINT (115.69844600000002 -33.2492270313721),urn:lsid:marinespecies.org:taxname:374710,Heterozostera sp.
WA_seagrass_Leschenault_2009_sites.94-halophila,sites.94,halophila,10,percent coverage,2/04/2009,1,1,-33.25896703,115.700996,POINT (115.700996 -33.25896703138635),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.95-ruppia,sites.95,ruppia,5,percent coverage,2/04/2009,1,1,-33.25638903,115.701045,POINT (115.70104500000001 -33.2563890313826),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.95-halophila,sites.95,halophila,20,percent coverage,2/04/2009,1,1,-33.25638903,115.701045,POINT (115.70104500000001 -33.2563890313826),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.96-ruppia,sites.96,ruppia,5,percent coverage,2/04/2009,0,0,-33.25598303,115.70104,POINT (115.70104 -33.25598303138199),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.96-halophila,sites.96,halophila,20,percent coverage,2/04/2009,0,0,-33.25598303,115.70104,POINT (115.70104 -33.25598303138199),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.97-halophila,sites.97,halophila,10,percent coverage,2/04/2009,2,2,-33.25951803,115.70365,POINT (115.70365000000001 -33.25951803138713),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.98-halophila,sites.98,halophila,10,percent coverage,2/04/2009,0,0,-33.25878803,115.703714,POINT (115.703714 -33.258788031386096),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.99-halophila,sites.99,halophila,20,percent coverage,2/04/2009,1,1,-33.26165303,115.700763,POINT (115.70076300000002 -33.26165303139026),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.100-halophila,sites.100,halophila,20,percent coverage,2/04/2009,0,0,-33.26171403,115.700558,POINT (115.700558 -33.261714031390355),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.101-halophila,sites.101,halophila,20,percent coverage,2/04/2009,1,1,-33.25926103,115.698866,POINT (115.69886600000002 -33.25926103138678),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.102-halophila,sites.102,halophila,20,percent coverage,2/04/2009,0,0,-33.25948303,115.698562,POINT (115.69856199999998 -33.25948303138711),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.115-halophila,sites.115,halophila,10,percent coverage,30/03/2009,2,2,-33.27681303,115.704135,POINT (115.70413500000002 -33.27681303141237),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.116-halophila,sites.116,halophila,10,percent coverage,30/03/2009,0,0,-33.27718903,115.70384,POINT (115.70384 -33.27718903141289),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.130-ruppia,sites.130,ruppia,80,percent coverage,30/03/2009,1,1,-33.29279303,115.700548,POINT (115.700548 -33.29279303143565),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.131-ruppia,sites.131,ruppia,80,percent coverage,30/03/2009,1,1,-33.29018403,115.700297,POINT (115.70029700000002 -33.29018403143186),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.131-halophila,sites.131,halophila,10,percent coverage,30/03/2009,1,1,-33.29018403,115.700297,POINT (115.70029700000002 -33.29018403143186),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
WA_seagrass_Leschenault_2009_sites.132-ruppia,sites.132,ruppia,80,percent coverage,30/03/2009,0,0,-33.29033403,115.699994,POINT (115.699994 -33.29033403143208),urn:lsid:marinespecies.org:taxname:234030,Ruppia sp.
WA_seagrass_Leschenault_2009_sites.132-halophila,sites.132,halophila,10,percent coverage,30/03/2009,0,0,-33.29033403,115.699994,POINT (115.699994 -33.29033403143208),urn:lsid:marinespecies.org:taxname:468368,Halophila sp.
